exercise,count
journal,371
drop,371
katie,371
regular,370
won,370
half,369
burpee,369
cap,368
lifters,368
breaking,366
number,365
mind,365
dan,362
photos,361
eating,361
method,360
evening,360
longer,359
wods,359
close,358
goes,357
stop,357
date,357
mile,356
soon,355
guys,355
circuit,354
play,352
attempt,351
probably,351
mark,350
donate,349
lower,348
makes,348
points,347
appropriate,347
dates,347
called,347
click,343
medium,341
takes,341
whether,341
additional,340
said,340
especially,340
plus,340
room,339
enjoy,338
went,337
farmer,337
later,337
lateral,336
banded,336
changes,336
link,334
send,334
normal,334
december,334
linear,334
luck,333
meat,333
took,331
sumo,331
along,329
positions,328
expect,327
variety,326
lost,325
water,324
race,324
missed,323
programs,323
balls,322
general,322
due,321
athletics,321
progressive,320
upper,319
ability,318
beyond,316
simply,316
students,316
meeting,316
previous,315
offer,315
sandbag,314
special,314
forget,314
band,313
hspu,313
simple,313
create,313
raise,313
limited,313
reserve,310
quick,309
shots,307
dogs,307
failure,306
whitney,306
equipment,304
congrats,304
allow,303
party,303
recommend,302
scaled,302
hanging,302
follow,302
injury,302
barbend,300
almost,299
success,299
late,299
quickly,297
testing,297
performed,297
amazing,297
approach,295
process,295
ways,294
works,294
annual,294
michael,294
given,293
april,293
hollow,291
doesn,291
ago,291
learning,291
touch,290
prizes,290
kate,290
push-up,289
others,289
flexibility,289
felt,289
signed,289
higher,288
fellow,288
card,288
house,288
care,288
dumbbells,287
chest-to-bar,287
miss,287
lots,287
fish,287
prior,286
pulls,286
talk,286
ken,286
toes-to-bars,285
crossfitters,285
shoulders,284
against,284
actually,284
steps,284
anything,284
habits,283
online,282
money,282
degraw,282
sub,281
assisted,281
tuesdays,281
sports,281
trying,280
upon,280
attend,280
lunge,279
chest,278
article,278
stretch,278
worked,278
russian,278
learned,278
wim,278
hof,277
diet,277
compete,277
wednesdays,276
thursdays,276
call,275
specific,274
currently,274
sometimes,274
season,273
advanced,272
recent,272
slow,272
comes,272
excited,272
beginning,271
numbers,271
speed,270
endurance,270
runners,270
walking,269
seen,269
held,268
adding,268
line,268
current,268
game,268
competitive,268
movie,268
breathing,267
performing,267
third,267
pounds,267
system,267
bars,266
finally,266
website,266
kind,265
faster,264
mean,264
style,264
posted,263
shoes,263
wait,262
immediately,262
haven,262
loaded,262
issues,262
directly,261
guide,261
mike,261
legs,260
taken,260
real,260
bent,259
intermediate,259
powerlifting,259
wants,259
chin,258
rings,258
question,257
chance,257
social,257
weekly,256
josh,256
tabata,255
true,254
isn,254
gyms,254
frank,254
intention,253
catalyst,253
melissa,252
virtual,252
steady,251
kick,251
feedback,251
entire,250
standards,250
novice,250
elbows,249
development,249
job,249
future,249
includes,249
education,249
feels,248
walks,248
mondays,248
fat,248
transition,247
gets,246
drive,245
reach,245
developing,245
business,245
hear,245
effective,244
asked,244
osorio,243
proper,242
locked,242
comfortable,242
consistently,240
arms,240
keeping,238
area,238
brett,238
attention,237
sundays,237
runs,236
price,236
born,236
sense,235
bringing,234
common,234
moved,234
lfpb,234
erg,233
self,233
intervals,233
hips,233
super,232
fgb,232
congratulations,232
interval,231
fall,231
age,231
east,231
muscles,230
levels,230
sleep,230
foods,230
kip,229
cold,229
farm,229
piece,228
environment,228
yes,227
proud,227
intent,226
mon,226
otherwise,225
virtuosity,225
man,225
volunteers,225
friend,225
controlled,224
nft,224
atlantic,224
height,223
summer,223
red,223
towards,222
pulling,222
masters,222
safe,222
huge,222
modify,221
beer,221
tips,221
anti-gravity,221
whatever,220
receive,220
rom,219
seated,219
increasing,219
children,219
prep,219
competitors,219
loading,218
tight,218
swing,218
similar,218
ages,218
helped,218
protein,218
overs,217
heart,217
addition,217
black,216
themselves,215
dedicated,215
nice,215
fresh,214
achieve,214
energy,214
service,214
via,214
participating,214
marathon,214
wasn,214
hook,213
cheer,213
ladies,213
putting,212
thomas,212
cfsbker,212
rather,211
holds,211
organization,211
dinner,211
belt,211
difficult,210
likely,210
rate,210
slightly,209
ground,209
several,209
